city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges,great_circle_m,circuity
Matosinhos,8868814915,8860364898,486.4348562107022,504.35119600752586,17.91633979682365,3.683194073794555,697.3804972550533,629.4777882615379,9.736823622224325,68.96551724137932,False,29,33,338.9925041956758,1.4877945375346722
Matosinhos,6481859358,11228758256,7362.915827072991,7476.021486980242,113.10565990725081,1.5361531024348833,10124.443264910451,9110.863309071672,10.011216709087302,24.050632911392405,False,79,84,6162.6410075512495,1.2131197448982787
Matosinhos,2596082435,5254185811,1473.9936785155887,1473.9936785155887,0.0,0.0,1951.653121673784,1951.653121673784,0.0,100.0,False,29,29,1122.2300115417595,1.3134505968973007
Matosinhos,8846109939,12163209401,6001.7397302055615,6203.827434119067,202.08770391350572,3.3671520758629123,8402.718935665318,7888.961356927442,6.114182595793295,57.41935483870968,False,155,172,5147.594806429224,1.205189543351515
Matosinhos,8867612958,9833138153,831.6087767797108,1038.5462149133627,206.937438133652,24.88398919200786,1153.6776095083187,1072.7085116579585,7.018346995992068,11.428571428571429,False,41,35,727.6020124286721,1.4273547862337352
Matosinhos,1438384340,2255728549,6456.282132366998,6824.213679300839,367.9315469338417,5.698814571459114,8730.274981693432,7502.0704796837745,14.068336960577842,14.43298969072165,False,97,99,4762.710045196538,1.4328425653758714
Matosinhos,9006520807,10707703352,5200.126674105763,5310.063058262926,109.93638415716214,2.11410973322236,7659.290043884736,6470.883940714511,15.515878056074698,14.117647058823529,False,103,85,4392.588677982545,1.2088687212802642
Matosinhos,1670426673,1437366934,8070.143592876472,8558.393853330927,488.2502604544543,6.0500814494234465,11088.301176850704,10750.983992055191,3.0420997717823304,48.148148148148145,False,108,115,6751.358624720058,1.2676550497546404
Matosinhos,2355264504,5337626072,7515.15650919117,7837.042897120729,321.88638792955953,4.283162799548975,10261.881458440233,8550.687206086744,16.675248679140207,36.633663366336634,False,113,101,6210.663349621191,1.261868894825661
Matosinhos,8878228566,5476746090,2735.3589341360307,2761.6331232322523,26.274189096221562,0.9605389906359885,3612.9393362198357,3382.561118849896,6.376476213159475,42.25352112676056,False,75,71,2213.8631182389345,1.2474272236980277
Matosinhos,8075429987,4591485613,3585.210113406284,3727.029603683154,141.81949027687006,3.955681418686179,5194.829479507455,5029.836341178637,3.176103065166679,60.65573770491803,False,61,62,2522.015535681901,1.4777980353223488
Matosinhos,8494395009,532488415,6070.363543351846,6185.856736862724,115.49319351087797,1.9025745770591296,9910.15045521858,8603.241425664502,13.18758010243803,25.84269662921348,False,106,89,4330.4984245495825,1.428439900080582
